FR18029		BNP Paribas Personal Finance
FR18050	CCMLFR21XXX	Caisse de crédit municipal de Lyon
FR18059	MIDLFRPXXXX	HSBC Bank Plc, Paris Branch
FR18079	SOGEGPGPXXX	CCF
FR18089	AUDIFRPPXXX	Bank Audi France
FR18106	AGRIFRCC881	Caisse régionale de crédit agricole mutuel des Savoie
FR18129	ISAEFRPPXXX	CACEIS Bank
FR18160		Caisse de crédit municipal de Nancy
FR18189	CGCPFRPLXXX	Compagnie générale de crédit aux particuliers - Crédipar
FR18206	AGRIFRCC892	Caisse régionale de crédit agricole mutuel de Paris et d'Ile-de-France
FR18280		Unifergie - Union pour le financement des économies d'énergie
FR18306	AGRIFRCC883	Caisse régionale de crédit agricole mutuel Normandie-Seine
FR18315		Caisse d'épargne et de prévoyance Côte d'Azur
FR18359	CPMEFRPPXXX	Bpifrance
FR18370	GPBAFRPPXXX	ORANGE BANK
FR18450	CMROFR21XXX	Caisse de crédit municipal de Roubaix
FR18470	CCMTFR21XXX	Caisse de crédit municipal de Nantes
FR18529	MHCBFRPPTGT	Mizuho bank ltd Paris branch
FR18530		Natiocredimurs, société en nom collectif
FR18569	BMISFRPPXXX	Banque Misr
FR18609		Caisse centrale du crédit immobilier de France-3CIF
FR18610		Compagnie pour la location de véhicules - CLV
FR13369	BMMMFRCPXXX	Rothschild Martin Maurel
FR18689	FRAFFRPPXXX	Fransabank France S.A.
FR18706	AGRIFRCC887	Caisse régionale de crédit agricole mutuel Brie Picardie
FR18707	CCBPFRPPVER	Banque populaire Val de France (2ème du nom)
FR18715		Caisse d'épargne et de prévoyance d'Auvergne et du Limousin
FR18719	BFCORERXXXX	Banque Française Commerciale Océan Indien
FR18759	EFGBMCMCXXX	EFG Bank (Monaco)
FR18769	BKCHFRPPXXX	Bank of China limited
FR18789	ICBCFRPPXXX	Mega international commercial bank Co, Ltd
FR18829		Arkéa banque entreprises et institutionnels
FR18869	FEMUFR21BDF	Banque française mutualiste - B.F.M.
FR18919		NATIXIS WEALTH MANAGEMENT
FR18950	CSCAFR21XXX	Caisse de crédit municipal d'Avignon
FR18979	ABCOFRPPXXX	ARAB BANKING CORPORATION SA
FR18989		Aareal Bank AG
FR19000	IVSTFRP1XXX	Société auxiliaire d'études et d'investissements mobiliers - Investimo
FR19063		Landesbank Saar (SAARLB)
FR19069	KBLXFRPPXXX	BANQUE RICHELIEU FRANCE
FR19106	AGRIFRCC891	Caisse régionale de crédit agricole mutuel Provence-Côte d'Azur (Alpes de Haute-Provence-Alpes-maritimes-Var)
FR19169		Finamur
FR19229	BSABFRPPXXX	Banco de Sabadell
FR19250		Compagnie générale de location d'équipements "C.G.L."
FR19259		Sogefimur
FR19269		Génébanque
FR19406	AGRIFRCC894	Caisse régionale de crédit agricole mutuel de la Touraine et du Poitou
FR19460	SFAXFRPPXXX	Sofax banque
FR19506	AGRIFRCC895	Caisse régionale de crédit agricole mutuel du Centre Ouest
FR19530	AGRIFRPIXXX	AMUNDI
FR19570	UFIFFRP1XXX	Union financière de France banque
FR19730	NOMAFRPPXXX	Banque Nomura France
FR19806	AGRIMQMXXXX	Caisse régionale de crédit agricole mutuel de la Martinique et de la Guyane
FR19870	SOAPFR22XXX	Carrefour banque
FR19906	AGRIRERXXXX	Caisse régionale de crédit agricole mutuel de la Réunion
FR20041	PSSTFRPPXXX	La Banque Postale
FR21570	STFEFR21XXX	SOCIÉTÉ FINANCIÈRE DE LA N.E.F.
FR21670	CPBIFRPPXXX	Loomis FX, Gold and Services
FR22040	CMCIFRPACCM	Confédération Nationale du Crédit Mutuel
FR22970		Epargne crédit des militaires (E.C.M.)
FR23779	BYBBFRPPXXX	Byblos bank Europe
FR23890	BCMAFRPPTGT	Attijariwafa bank europe
FR24349	BJSBMCMXXXX	Banque J. Safra Sarasin (Monaco) SA
FR24599	PRIVFRPPXXX	Milleis Banque
FR24659	BCIBFRP1XXX	Banque Chabrières
FR25080		Axa banque financement
FR27800	KREDFRPPXXX	KBC bank
FR28570	CMDIFR21XXX	Caisse de crédit municipal de Dijon
FR30002	CRLYFRPPXXX	CREDIT LYONNAIS (LCL)
FR30003	SOGEFRPPXXX	Société générale S.A.
FR30004	BNPAFRPPXXX	BNP Paribas
FR30006	AGRIFRPPXXX	Crédit Agricole S.A.
FR30007	NATXFRPPXXX	Natixis
FR30027		Banque CIC Nord Ouest
FR30047		Banque CIC Ouest
FR30051	CFFOFRCCXXX	Compagnie de financement foncier
FR30056	CCFRFRPPXXX	HSBC Continental Europe
FR30066	CMCIFRPPXXX	Crédit industriel et commercial - CIC
FR30087		Banque CIC Est
FR30258	BATIFRP1XXX	Banque du bâtiment et des travaux publics - BTP banque
FR30438	INGBFRPPXXX	ING Bank NV
FR30478	MONTFRPPXXX	Monte Paschi banque S.A.
FR30568		Banque Transatlantique S.A.
FR30588	BARCFRPPXXX	Barclays Bank Ireland
FR30628	CHASFRPPXXX	JPMorgan Chase bank, National Association
FR30748	LAZPFRPPXXX	Lazard Frères Banque
FR30958		BNP Paribas Lease Group
